thread,cycle,exec_us,jitter_us,distance_m,velocity_ms,emergency,ttc
emergency,1,4,0,10,0,0,inf
emergency,2,4,42,10,0,0,inf
emergency,3,6,71,10,0,0,inf
sensor,1,12326,0,10,0,0,inf
emergency,4,3,48,10,0,0,inf
planning,1,2,0,10,0,0,inf
emergency,5,4,48,10,0,0,inf
motor,1,45,0,10,0,0,inf
emergency,6,3,32,10,0,0,inf
planning,2,2,71,10,0,0,inf
emergency,7,4,49,10,0,0,inf
motor,2,58,54,10,0,0,inf
emergency,8,3,41,10,0,0,inf
planning,3,4,56,10,0,0,inf
emergency,9,4,73,10,0,0,inf
motor,3,49,40,10,0,0,inf
emergency,10,2,30,10,0,0,inf
planning,4,1,30,10,0,0,inf
sensor,2,12333,46,10,0,0,inf
emergency,11,2,41,10,0,0,inf
motor,4,39,26,10,0,0,inf
emergency,12,0,19,10,0,0,inf
planning,5,1,26,10,0,0,inf
emergency,13,1,53,10,0,0,inf
motor,5,80,78,10,0,0,inf
emergency,14,4,58,10,0,0,inf
planning,6,3,89,10,0,0,inf
emergency,15,3,38,10,0,0,inf
motor,6,47,27,10,0,0,inf
emergency,16,1,34,10,0,0,inf
planning,7,2,39,10,0,0,inf
emergency,17,1,34,10,0,0,inf
motor,7,29,35,10,0,0,inf
sensor,3,12350,48,10,0,0,inf
emergency,18,1,32,10,0,0,inf
planning,8,1,33,10,0,0,inf
emergency,19,2,53,10,0,0,inf
motor,8,66,61,10,0,0,inf
emergency,20,5,62,10,0,0,inf
planning,9,4,57,10,0,0,inf
emergency,21,5,59,10,0,0,inf
motor,9,61,59,10,0,0,inf
emergency,22,1,38,10,0,0,inf
planning,10,3,38,10,0,0,inf
emergency,23,1,34,10,0,0,inf
motor,10,53,59,10,0,0,inf
emergency,24,2,50,10,0,0,inf
planning,11,18,61,10,0,0,inf
sensor,4,12349,64,10,0,0,inf
emergency,25,3,55,10,0,0,inf
motor,11,38,35,10,0,0,inf
emergency,26,2,22,10,0,0,inf
planning,12,1,21,10,0,0,inf
emergency,27,0,23,10,0,0,inf
motor,12,29,20,10,0,0,inf
emergency,28,3,54,10,0,0,inf
planning,13,4,64,10,0,0,inf
emergency,29,3,98,10,0,0,inf
motor,13,72,71,10,0,0,inf
emergency,30,4,44,10,0,0,inf
planning,14,3,47,10,0,0,inf
emergency,31,3,46,10,0,0,inf
motor,14,59,63,10,0,0,inf
sensor,5,12335,69,10,0,0,inf
emergency,32,5,54,10,0,0,inf
planning,15,4,59,10,0,0,inf
emergency,33,4,90,10,0,0,inf
motor,15,55,48,10,0,0,inf
emergency,34,3,43,10,0,0,inf
planning,16,3,53,10,0,0,inf
emergency,35,3,36,10,0,0,inf
motor,16,43,36,10,0,0,inf
emergency,36,2,30,10,0,0,inf
planning,17,3,38,10,0,0,inf
emergency,37,5,56,10,0,0,inf
motor,17,58,47,10,0,0,inf
emergency,38,0,32,10,0,0,inf
planning,18,2,38,10,0,0,inf
sensor,6,12360,46,10,0,0,inf
emergency,39,1,35,10,0,0,inf
motor,18,22,22,10,0,0,inf
emergency,40,0,17,10,0,0,inf
planning,19,5,69,10,0,0,inf
emergency,41,5,76,10,0,0,inf
motor,19,41,37,10,0,0,inf
emergency,42,2,33,10,0,0,inf
